gene_id,study_id,omic_layer,species,tissue,sex,age_range,effect_size,direction,p_value,q_value,standard_error,source
ENSMUSG00000024590,GEO:GSE90054,transcriptome,mouse,muscle,male,young_vs_old,-1.0305,down,0.021529,0.032293,0.4483,GEO
ENSMUSG00000024590,GEO:GSE90055,transcriptome,mouse,muscle,both,young_vs_old,-0.9793,down,0.030604,0.045906,0.4529,GEO
ENSMUSG00000024590,GEO:GSE90056,transcriptome,mouse,muscle,male,20-80,-0.8863,down,0.009892,0.014838,0.3436,GEO
ENSG00000113368,GEO:GSE90057,methylome,human,blood,female,20-80,-0.2398,down,0.452122,0.678183,0.3189,GEO
ENSG00000113368,GEO:GSE90058,methylome,human,blood,female,20-80,-0.3219,down,0.43267,0.649004,0.4102,GEO
ENSG00000130513,GEO:GSE90059,transcriptome,human,blood,both,young_vs_old,0.5421,up,0.087639,0.131459,0.3174,GEO
ENSG00000130513,GEO:GSE90060,transcriptome,human,blood,male,20-80,0.5783,up,0.177815,0.266722,0.4292,GEO
ENSG00000130513,GEO:GSE90061,transcriptome,human,blood,male,young_vs_old,0.8394,up,0.044074,0.066111,0.4169,GEO
ENSG00000130513,GEO:GSE90062,transcriptome,human,brain,male,3m_vs_24m,0.3606,up,0.269704,0.404556,0.3267,GEO
ENSG00000130513,GEO:GSE90063,transcriptome,human,brain,female,3m_vs_24m,0.8217,up,0.014003,0.021005,0.3344,GEO
ENSG00000130513,GEO:GSE90064,transcriptome,human,brain,male,20-80,0.7121,up,0.068366,0.102549,0.3907,GEO
ENSG00000130513,GEO:GSE90065,transcriptome,human,muscle,male,20-80,0.8322,up,0.011721,0.017581,0.3302,GEO
ENSG00000130513,GEO:GSE90066,transcriptome,human,muscle,male,20-80,1.0381,up,0.003422,0.005133,0.3547,GEO
ENSG00000130513,GEO:GSE90067,transcriptome,human,muscle,male,3m_vs_24m,0.7949,up,0.065499,0.098249,0.4316,GEO
ENSMUSG00000038508,GEO:GSE90068,transcriptome,mouse,blood,female,young_vs_old,0.3658,up,0.292451,0.438677,0.3474,GEO
ENSMUSG00000038508,GEO:GSE90069,transcriptome,mouse,blood,both,3m_vs_24m,0.688,up,0.069468,0.104202,0.379,GEO
ENSMUSG00000038508,GEO:GSE90070,transcriptome,mouse,blood,male,3m_vs_24m,0.6268,up,0.077249,0.115874,0.3548,GEO
ENSMUSG00000038508,GEO:GSE90071,transcriptome,mouse,brain,female,young_vs_old,0.627,up,0.131475,0.197213,0.4157,GEO
ENSMUSG00000038508,GEO:GSE90072,transcriptome,mouse,brain,female,3m_vs_24m,0.491,up,0.15955,0.239325,0.3491,GEO
ENSMUSG00000038508,GEO:GSE90073,transcriptome,mouse,brain,male,young_vs_old,0.5873,up,0.225295,0.337943,0.4843,GEO
ENSMUSG00000038508,GEO:GSE90074,transcriptome,mouse,muscle,female,young_vs_old,0.6615,up,0.056563,0.084845,0.3469,GEO
ENSMUSG00000038508,GEO:GSE90075,transcriptome,mouse,muscle,female,20-80,0.5407,up,0.16193,0.242896,0.3866,GEO
ENSMUSG00000038508,GEO:GSE90076,transcriptome,mouse,muscle,female,20-80,0.4407,up,0.26019,0.390285,0.3914,GEO
ENSG00000130513,GEO:GSE90077,proteome,human,plasma,male,young_vs_old,1.0809,up,0.001478,0.002218,0.34,GEO
ENSG00000130513,GEO:GSE90078,proteome,human,plasma,female,3m_vs_24m,1.0605,up,0.014754,0.022131,0.4349,GEO
ENSG00000096717,GEO:GSE90079,transcriptome,human,blood,female,young_vs_old,-0.1838,down,0.584714,0.87707,0.3362,GEO
ENSG00000096717,GEO:GSE90080,transcriptome,human,blood,male,young_vs_old,-0.3678,down,0.352433,0.52865,0.3955,GEO
ENSG00000096717,GEO:GSE90081,transcriptome,human,blood,female,3m_vs_24m,-0.7118,down,0.050092,0.075137,0.3633,GEO
ENSG00000096717,GEO:GSE90082,transcriptome,human,brain,male,20-80,-0.4022,down,0.246428,0.369642,0.347,GEO
ENSG00000096717,GEO:GSE90083,transcriptome,human,brain,female,20-80,-0.4954,down,0.226985,0.340477,0.41,GEO
ENSG00000096717,GEO:GSE90084,transcriptome,human,brain,female,young_vs_old,-0.5591,down,0.174764,0.262147,0.412,GEO
ENSG00000096717,GEO:GSE90085,transcriptome,human,muscle,female,20-80,-0.543,down,0.073729,0.110593,0.3037,GEO
ENSG00000096717,GEO:GSE90086,transcriptome,human,muscle,both,3m_vs_24m,-0.6026,down,0.048536,0.072804,0.3055,GEO
ENSG00000096717,GEO:GSE90087,transcriptome,human,muscle,male,3m_vs_24m,-0.4225,down,0.166089,0.249133,0.3051,GEO
ENSMUSG00000020063,GEO:GSE90088,transcriptome,mouse,blood,male,young_vs_old,-0.3542,down,0.321148,0.481722,0.357,GEO
ENSMUSG00000020063,GEO:GSE90089,transcriptome,mouse,blood,female,20-80,-0.5341,down,0.163684,0.245526,0.3835,GEO
ENSMUSG00000020063,GEO:GSE90090,transcriptome,mouse,blood,both,3m_vs_24m,-0.4552,down,0.265986,0.398979,0.4092,GEO
ENSMUSG00000020063,GEO:GSE90091,transcriptome,mouse,brain,female,young_vs_old,-0.5735,down,0.110389,0.165583,0.3592,GEO
ENSMUSG00000020063,GEO:GSE90092,transcriptome,mouse,brain,both,3m_vs_24m,-0.5266,down,0.118595,0.177892,0.3374,GEO
ENSMUSG00000020063,GEO:GSE90093,transcriptome,mouse,brain,male,3m_vs_24m,-0.3187,down,0.399583,0.599375,0.3784,GEO
ENSMUSG00000020063,GEO:GSE90094,transcriptome,mouse,muscle,female,young_vs_old,-0.3842,down,0.178285,0.267428,0.2854,GEO
ENSMUSG00000020063,GEO:GSE90095,transcriptome,mouse,muscle,male,young_vs_old,-0.4441,down,0.344965,0.517448,0.4702,GEO
ENSMUSG00000020063,GEO:GSE90096,transcriptome,mouse,muscle,female,3m_vs_24m,-0.6476,down,0.018251,0.027377,0.2743,GEO
ENSG00000096717,GEO:GSE90097,methylome,human,blood,female,young_vs_old,-0.2105,down,0.529442,0.794163,0.3348,GEO
ENSG00000096717,GEO:GSE90098,methylome,human,blood,both,3m_vs_24m,-0.4948,down,0.100855,0.151282,0.3016,GEO
ENSG00000164362,GEO:GSE90099,transcriptome,human,blood,both,young_vs_old,-0.7424,down,0.070975,0.106462,0.4111,GEO
ENSG00000164362,GEO:GSE90100,transcriptome,human,blood,female,20-80,-0.8505,down,0.015122,0.022683,0.3501,GEO
ENSG00000164362,GEO:GSE90101,transcriptome,human,blood,both,young_vs_old,-0.6358,down,0.053585,0.080378,0.3294,GEO
ENSG00000164362,GEO:GSE90102,transcriptome,human,brain,female,3m_vs_24m,-0.8479,down,0.086697,0.130045,0.4949,GEO
ENSG00000164362,GEO:GSE90103,transcriptome,human,brain,male,young_vs_old,-0.9681,down,0.003813,0.005719,0.3346,GEO
ENSG00000164362,GEO:GSE90104,transcriptome,human,brain,female,young_vs_old,-0.9992,down,0.007013,0.01052,0.3706,GEO
ENSG00000164362,GEO:GSE90105,transcriptome,human,muscle,male,3m_vs_24m,-0.9439,down,0.010308,0.015461,0.3679,GEO
ENSG00000164362,GEO:GSE90106,transcriptome,human,muscle,both,3m_vs_24m,-0.8526,down,0.004146,0.006218,0.2974,GEO
ENSG00000164362,GEO:GSE90107,transcriptome,human,muscle,both,3m_vs_24m,-0.6964,down,0.074307,0.11146,0.3902,GEO
ENSMUSG00000021611,GEO:GSE90108,transcriptome,mouse,blood,male,3m_vs_24m,-0.8534,down,0.022999,0.034498,0.3754,GEO
ENSMUSG00000021611,GEO:GSE90109,transcriptome,mouse,blood,both,20-80,-0.9961,down,0.007068,0.010602,0.3698,GEO
ENSMUSG00000021611,GEO:GSE90110,transcriptome,mouse,blood,female,young_vs_old,-0.7348,down,0.011985,0.017978,0.2925,GEO
ENSMUSG00000021611,GEO:GSE90111,transcriptome,mouse,brain,male,3m_vs_24m,-0.5547,down,0.077743,0.116614,0.3145,GEO
ENSMUSG00000021611,GEO:GSE90112,transcriptome,mouse,brain,female,young_vs_old,-0.7928,down,0.052284,0.078427,0.4085,GEO
ENSMUSG00000021611,GEO:GSE90113,transcriptome,mouse,brain,male,3m_vs_24m,-0.621,down,0.066723,0.100085,0.3387,GEO
ENSMUSG00000021611,GEO:GSE90114,transcriptome,mouse,muscle,both,3m_vs_24m,-0.793,down,0.012216,0.018324,0.3165,GEO
ENSMUSG00000021611,GEO:GSE90115,transcriptome,mouse,muscle,male,young_vs_old,-0.8634,down,0.003465,0.005197,0.2954,GEO
ENSMUSG00000021611,GEO:GSE90116,transcriptome,mouse,muscle,male,3m_vs_24m,-0.4893,down,0.199075,0.298613,0.381,GEO
ENSG00000133116,GEO:GSE90117,transcriptome,human,blood,female,3m_vs_24m,-0.8565,down,0.011619,0.017429,0.3394,GEO
ENSG00000133116,GEO:GSE90118,transcriptome,human,blood,male,young_vs_old,-0.8464,down,0.020931,0.031397,0.3665,GEO
ENSG00000133116,GEO:GSE90119,transcriptome,human,blood,female,20-80,-0.8163,down,0.012643,0.018964,0.3274,GEO
ENSG00000133116,GEO:GSE90120,transcriptome,human,brain,both,3m_vs_24m,-0.48,down,0.204742,0.307113,0.3785,GEO
ENSG00000133116,GEO:GSE90121,transcriptome,human,brain,both,young_vs_old,-1.1716,down,0.015951,0.023926,0.4861,GEO
ENSG00000133116,GEO:GSE90122,transcriptome,human,brain,female,3m_vs_24m,-0.8617,down,0.044148,0.066222,0.4281,GEO
ENSG00000133116,GEO:GSE90123,transcriptome,human,muscle,female,20-80,-0.8988,down,0.003654,0.005481,0.3092,GEO
ENSG00000133116,GEO:GSE90124,transcriptome,human,muscle,both,young_vs_old,-0.7108,down,0.031396,0.047094,0.3303,GEO
ENSG00000133116,GEO:GSE90125,transcriptome,human,muscle,female,20-80,-0.7936,down,0.019083,0.028624,0.3386,GEO
ENSMUSG00000058488,GEO:GSE90126,transcriptome,mouse,blood,female,20-80,-1.0167,down,0.007993,0.01199,0.3833,GEO
ENSMUSG00000058488,GEO:GSE90127,transcriptome,mouse,blood,both,young_vs_old,-0.6772,down,0.039359,0.059039,0.3287,GEO
ENSMUSG00000058488,GEO:GSE90128,transcriptome,mouse,blood,female,young_vs_old,-0.5069,down,0.259718,0.389578,0.4497,GEO
ENSMUSG00000058488,GEO:GSE90129,transcriptome,mouse,brain,female,20-80,-0.7282,down,0.018561,0.027841,0.3093,GEO
ENSMUSG00000058488,GEO:GSE90130,transcriptome,mouse,brain,female,20-80,-0.8467,down,0.032271,0.048406,0.3955,GEO
ENSMUSG00000058488,GEO:GSE90131,transcriptome,mouse,brain,male,young_vs_old,-0.896,down,0.00306,0.004589,0.3025,GEO
ENSMUSG00000058488,GEO:GSE90132,transcriptome,mouse,muscle,female,3m_vs_24m,-0.6844,down,0.096151,0.144227,0.4113,GEO
ENSMUSG00000058488,GEO:GSE90133,transcriptome,mouse,muscle,female,young_vs_old,-0.7415,down,0.122381,0.183571,0.48,GEO
ENSMUSG00000058488,GEO:GSE90134,transcriptome,mouse,muscle,female,3m_vs_24m,-0.8088,down,0.014957,0.022435,0.3324,GEO
ENSG00000133116,GEO:GSE90135,proteome,human,plasma,male,young_vs_old,-0.6569,down,0.054759,0.082138,0.342,GEO
ENSG00000133116,GEO:GSE90136,proteome,human,plasma,female,20-80,-0.6133,down,0.058894,0.088341,0.3247,GEO
ENSG00000118689,GEO:GSE90137,transcriptome,human,blood,both,20-80,-0.1495,down,0.616603,0.924905,0.2986,GEO
ENSG00000118689,GEO:GSE90138,transcriptome,human,blood,female,3m_vs_24m,0.0708,up,0.807651,1.0,0.2907,GEO
ENSG00000118689,GEO:GSE90139,transcriptome,human,blood,male,young_vs_old,-0.1847,down,0.61257,0.918855,0.3647,GEO
ENSG00000118689,GEO:GSE90140,transcriptome,human,brain,both,20-80,0.0084,up,0.977448,1.0,0.296,GEO
ENSG00000118689,GEO:GSE90141,transcriptome,human,brain,female,3m_vs_24m,-0.2233,down,0.538412,0.807619,0.3629,GEO
ENSG00000118689,GEO:GSE90142,transcriptome,human,brain,female,young_vs_old,-0.1189,down,0.730078,1.0,0.3446,GEO
ENSG00000118689,GEO:GSE90143,transcriptome,human,muscle,female,young_vs_old,-0.4339,down,0.261244,0.391866,0.3863,GEO
ENSG00000118689,GEO:GSE90144,transcriptome,human,muscle,male,young_vs_old,-0.2042,down,0.590725,0.886088,0.3796,GEO
ENSG00000118689,GEO:GSE90145,transcriptome,human,muscle,female,3m_vs_24m,-0.5025,down,0.270905,0.406357,0.4564,GEO
ENSMUSG00000048756,GEO:GSE90146,transcriptome,mouse,blood,female,3m_vs_24m,-0.1319,down,0.732052,1.0,0.3852,GEO
ENSMUSG00000048756,GEO:GSE90147,transcriptome,mouse,blood,male,3m_vs_24m,-0.1006,down,0.750769,1.0,0.3168,GEO
ENSMUSG00000048756,GEO:GSE90148,transcriptome,mouse,blood,both,3m_vs_24m,-0.1747,down,0.698032,1.0,0.4503,GEO
ENSMUSG00000048756,GEO:GSE90149,transcriptome,mouse,brain,female,young_vs_old,-0.435,down,0.182614,0.273921,0.3264,GEO
ENSMUSG00000048756,GEO:GSE90150,transcriptome,mouse,brain,both,3m_vs_24m,-0.4369,down,0.200285,0.300428,0.3411,GEO
ENSMUSG00000048756,GEO:GSE90151,transcriptome,mouse,brain,female,young_vs_old,0.0151,up,0.959604,1.0,0.2972,GEO
ENSMUSG00000048756,GEO:GSE90152,transcriptome,mouse,muscle,both,20-80,-0.2653,down,0.421892,0.632838,0.3304,GEO
ENSMUSG00000048756,GEO:GSE90153,transcriptome,mouse,muscle,female,3m_vs_24m,-0.057,down,0.884224,1.0,0.3918,GEO
ENSMUSG00000048756,GEO:GSE90154,transcriptome,mouse,muscle,both,20-80,-0.2804,down,0.486644,0.729966,0.4031,GEO
ENSG00000017427,GEO:GSE90155,transcriptome,human,blood,female,20-80,-0.3528,down,0.235196,0.352794,0.2972,GEO
ENSG00000017427,GEO:GSE90156,transcriptome,human,blood,male,20-80,-0.5249,down,0.135893,0.203839,0.352,GEO
ENSG00000017427,GEO:GSE90157,transcriptome,human,blood,both,20-80,-0.5475,down,0.153737,0.230605,0.3838,GEO
ENSG00000017427,GEO:GSE90158,transcriptome,human,brain,male,3m_vs_24m,-0.7493,down,0.007242,0.010863,0.279,GEO
ENSG00000017427,GEO:GSE90159,transcriptome,human,brain,male,20-80,-0.6221,down,0.168056,0.252084,0.4513,GEO
ENSG00000017427,GEO:GSE90160,transcriptome,human,brain,female,20-80,-0.6356,down,0.103388,0.155082,0.3902,GEO
ENSG00000017427,GEO:GSE90161,transcriptome,human,muscle,both,20-80,-0.5332,down,0.187211,0.280816,0.4043,GEO
ENSG00000017427,GEO:GSE90162,transcriptome,human,muscle,both,3m_vs_24m,-0.2731,down,0.466602,0.699903,0.3751,GEO
ENSG00000017427,GEO:GSE90163,transcriptome,human,muscle,male,3m_vs_24m,-0.5404,down,0.120229,0.180344,0.3478,GEO
ENSMUSG00000020053,GEO:GSE90164,transcriptome,mouse,blood,male,20-80,-0.4644,down,0.284458,0.426687,0.4339,GEO
ENSMUSG00000020053,GEO:GSE90165,transcriptome,mouse,blood,male,20-80,-0.5599,down,0.153695,0.230543,0.3925,GEO
ENSMUSG00000020053,GEO:GSE90166,transcriptome,mouse,blood,male,20-80,-0.4082,down,0.19247,0.288706,0.3132,GEO
ENSMUSG00000020053,GEO:GSE90167,transcriptome,mouse,brain,female,20-80,-0.6359,down,0.088841,0.133261,0.3737,GEO
ENSMUSG00000020053,GEO:GSE90168,transcriptome,mouse,brain,female,young_vs_old,-0.48,down,0.10142,0.152131,0.2931,GEO
ENSMUSG00000020053,GEO:GSE90169,transcriptome,mouse,brain,female,20-80,-0.492,down,0.188336,0.282505,0.374,GEO
ENSMUSG00000020053,GEO:GSE90170,transcriptome,mouse,muscle,female,20-80,-0.7697,down,0.115164,0.172745,0.4885,GEO
ENSMUSG00000020053,GEO:GSE90171,transcriptome,mouse,muscle,male,3m_vs_24m,-0.5164,down,0.214149,0.321223,0.4157,GEO
ENSMUSG00000020053,GEO:GSE90172,transcriptome,mouse,muscle,both,20-80,-0.5158,down,0.245466,0.368199,0.4441,GEO
ENSG00000017427,GEO:GSE90173,proteome,human,plasma,female,3m_vs_24m,-0.5685,down,0.171835,0.257752,0.4161,GEO
ENSG00000017427,GEO:GSE90174,proteome,human,plasma,female,20-80,-0.5995,down,0.070786,0.10618,0.3318,GEO
ENSG00000141510,GEO:GSE90175,transcriptome,human,blood,male,young_vs_old,0.1472,up,0.603008,0.904512,0.2831,GEO
ENSG00000141510,GEO:GSE90176,transcriptome,human,blood,both,20-80,0.1982,up,0.589597,0.884395,0.3674,GEO
ENSG00000141510,GEO:GSE90177,transcriptome,human,blood,both,young_vs_old,0.5571,up,0.046665,0.069997,0.28,GEO
ENSG00000141510,GEO:GSE90178,transcriptome,human,brain,male,young_vs_old,0.235,up,0.548659,0.822989,0.3919,GEO
ENSG00000141510,GEO:GSE90179,transcriptome,human,brain,female,3m_vs_24m,0.3323,up,0.285485,0.428227,0.3111,GEO
ENSG00000141510,GEO:GSE90180,transcriptome,human,brain,female,20-80,0.1476,up,0.692008,1.0,0.3725,GEO
ENSG00000141510,GEO:GSE90181,transcriptome,human,muscle,female,20-80,0.2707,up,0.341101,0.511651,0.2844,GEO
ENSG00000141510,GEO:GSE90182,transcriptome,human,muscle,both,20-80,0.2753,up,0.301039,0.451559,0.2662,GEO
ENSG00000141510,GEO:GSE90183,transcriptome,human,muscle,male,young_vs_old,0.6547,up,0.038972,0.058458,0.3171,GEO
ENSMUSG00000059552,GEO:GSE90184,transcriptome,mouse,blood,male,3m_vs_24m,0.4896,up,0.273775,0.410663,0.4474,GEO
ENSMUSG00000059552,GEO:GSE90185,transcriptome,mouse,blood,male,young_vs_old,0.3682,up,0.220835,0.331252,0.3007,GEO
ENSMUSG00000059552,GEO:GSE90186,transcriptome,mouse,blood,female,20-80,0.3428,up,0.238826,0.358239,0.291,GEO
ENSMUSG00000059552,GEO:GSE90187,transcriptome,mouse,brain,male,3m_vs_24m,-0.1037,down,0.762608,1.0,0.3432,GEO
ENSMUSG00000059552,GEO:GSE90188,transcriptome,mouse,brain,both,20-80,0.2519,up,0.40567,0.608505,0.303,GEO
ENSMUSG00000059552,GEO:GSE90189,transcriptome,mouse,brain,male,young_vs_old,0.5213,up,0.222786,0.334179,0.4276,GEO
ENSMUSG00000059552,GEO:GSE90190,transcriptome,mouse,muscle,both,20-80,0.2527,up,0.537483,0.806224,0.4099,GEO
ENSMUSG00000059552,GEO:GSE90191,transcriptome,mouse,muscle,female,young_vs_old,0.1964,up,0.546388,0.819582,0.3257,GEO
ENSMUSG00000059552,GEO:GSE90192,transcriptome,mouse,muscle,female,20-80,0.4139,up,0.152845,0.229268,0.2895,GEO
ENSG00000198793,GEO:GSE90193,transcriptome,human,blood,male,20-80,0.3376,up,0.287715,0.431573,0.3176,GEO
ENSG00000198793,GEO:GSE90194,transcriptome,human,blood,male,young_vs_old,0.0849,up,0.840386,1.0,0.4216,GEO
ENSG00000198793,GEO:GSE90195,transcriptome,human,blood,both,20-80,0.0205,up,0.960098,1.0,0.4097,GEO
ENSG00000198793,GEO:GSE90196,transcriptome,human,brain,female,3m_vs_24m,0.404,up,0.248653,0.372979,0.3502,GEO
ENSG00000198793,GEO:GSE90197,transcriptome,human,brain,male,young_vs_old,0.285,up,0.375648,0.563471,0.3217,GEO
ENSG00000198793,GEO:GSE90198,transcriptome,human,brain,both,3m_vs_24m,0.1359,up,0.658811,0.988217,0.3078,GEO
ENSG00000198793,GEO:GSE90199,transcriptome,human,muscle,male,3m_vs_24m,0.4341,up,0.19983,0.299744,0.3386,GEO
ENSG00000198793,GEO:GSE90200,transcriptome,human,muscle,both,3m_vs_24m,0.2991,up,0.427976,0.641964,0.3773,GEO
ENSG00000198793,GEO:GSE90201,transcriptome,human,muscle,male,3m_vs_24m,0.1131,up,0.740929,1.0,0.3421,GEO
ENSMUSG00000028991,GEO:GSE90202,transcriptome,mouse,blood,male,young_vs_old,0.2457,up,0.557629,0.836444,0.419,GEO
ENSMUSG00000028991,GEO:GSE90203,transcriptome,mouse,blood,both,20-80,0.2139,up,0.549407,0.82411,0.3574,GEO
ENSMUSG00000028991,GEO:GSE90204,transcriptome,mouse,blood,both,3m_vs_24m,0.3431,up,0.313889,0.470834,0.3407,GEO
ENSMUSG00000028991,GEO:GSE90205,transcriptome,mouse,brain,both,3m_vs_24m,0.1996,up,0.625793,0.93869,0.4092,GEO
ENSMUSG00000028991,GEO:GSE90206,transcriptome,mouse,brain,female,young_vs_old,0.0138,up,0.972723,1.0,0.4043,GEO
